id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,liveness,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.12,0.02,0.05
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.08,0.74,0.03
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.22,0.04,0.06
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.06,0.81,0.02
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.18,0.01,0.08
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.05,0.91,0.02
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.31,0.43,0.04
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.10,0.15,0.05
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.07,0.69,0.03
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.14,0.03,0.06
11,Gold Chain Feelings,Rayven Blvd,hip-hop,nostalgic,0.72,94,0.66,0.85,0.12,0.16,0.00,0.28
12,3AM Heartbreak,Lena Voss,r&b,sad,0.44,82,0.31,0.67,0.55,0.09,0.02,0.12
13,Iron Cathedral,Duskwall,metal,angry,0.97,168,0.22,0.58,0.06,0.35,0.08,0.07
14,Porch & Fireflies,June Hollow,folk,nostalgic,0.31,104,0.74,0.47,0.94,0.42,0.11,0.09
15,Bali Drift,Coastal Current,reggae,relaxed,0.55,98,0.83,0.76,0.67,0.28,0.06,0.10
16,Velvet Hours,Maison Rouge,classical,melancholic,0.24,58,0.38,0.28,0.96,0.11,0.97,0.04
17,Drop Zone,Circuit9,edm,energetic,0.96,140,0.71,0.94,0.08,0.20,0.62,0.05
18,Neon Prayers,The Drift,darkwave,moody,0.63,115,0.27,0.69,0.31,0.13,0.22,0.06
19,Sunday Mercado,Dos Caminos,latin,happy,0.78,126,0.90,0.91,0.44,0.24,0.01,0.08
20,Slow Burn Letter,Atlas Pine,country,sad,0.39,88,0.35,0.52,0.81,0.33,0.05,0.11
